FIPS State county code,CBSA (Blanks are Rural),Rural area,Urban area
13207,31420,1,0
13209,,0,1
13211,12060,1,0
13213,19140,1,0
13215,17980,1,0
13217,12060,1,0
13219,12020,1,0
13221,12020,1,0
13223,12060,1,0
13225,47580,1,0
13227,12060,1,0
13229,,0,1
13231,12060,1,0
13233,,0,1
13235,47580,1,0
13237,,0,1
13239,,0,1
13241,,0,1
13243,,0,1
13245,12260,1,0
13247,12060,1,0
13249,,0,1
13251,,0,1
13253,,0,1
13255,12060,1,0
13257,,0,1
13259,,0,1
13261,,0,1
13263,,0,1
13265,,0,1
13267,,0,1
13269,,0,1
13271,,0,1
13273,10500,1,0
13275,,0,1
13277,,0,1
13279,,0,1
13281,,0,1
13283,,0,1
13285,,0,1
13287,,0,1
13289,31420,1,0
13291,,0,1
13293,,0,1
13295,16860,1,0
13297,12060,1,0
13299,,0,1
13301,,0,1
13303,,0,1
13305,,0,1
13307,,0,1
13309,,0,1
13311,,0,1
13313,19140,1,0
13315,,0,1
13317,,0,1
13319,,0,1
13321,10500,1,0
13990,,0,1
15005,27980,1,0
15001,,0,1
15003,46520,1,0
15007,,0,1
15009,27980,1,0
15990,,0,1
16001,14260,1,0
16003,,0,1
16005,38540,1,0
16007,,0,1
16009,,0,1
16011,,0,1
16013,,0,1
16015,14260,1,0
16017,,0,1
16019,26820,1,0
16021,,0,1
16023,26820,1,0
16025,,0,1
16027,14260,1,0
16029,,0,1
16031,,0,1
16033,,0,1
16035,,0,1
16037,,0,1
16039,,0,1
16041,30860,1,0
16043,,0,1
16045,14260,1,0
16047,,0,1
16049,,0,1
16051,26820,1,0
16053,,0,1
16055,17660,1,0
16057,,0,1
16059,,0,1
16061,,0,1
16063,,0,1
16065,,0,1
16067,,0,1
16069,30300,1,0
16071,,0,1
16073,14260,1,0
16075,,0,1
16077,,0,1
16079,,0,1
16081,,0,1
16083,,0,1
16085,,0,1
16087,,0,1
16990,,0,1
17001,,0,1
17003,16020,1,0
17005,41180,1,0
17007,40420,1,0
17009,,0,1
17011,,0,1
17013,41180,1,0
17015,,0,1
17017,,0,1
17019,16580,1,0
17021,,0,1
17023,,0,1
17025,,0,1
17027,41180,1,0
17029,,0,1
17031,16974,1,0
17033,,0,1
17035,,0,1
17037,20994,1,0
17039,14010,1,0
17041,,0,1
17043,16974,1,0
17045,,0,1
17047,,0,1
17049,,0,1
17051,,0,1
17053,16580,1,0
17055,,0,1
