Federal Provider Number,Residents Total Confirmed COVID-19,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total COVID-19 Deaths,No Confirmed COVID-19 Cases among residents,Confirmed COVID-19 Cases among residents (1-<95% Percentile),Confirmed COVID-19 Cases among residents (>=95% Percentile),No Confirmed COVID-19 Cases among staff,Confirmed COVID-19 Cases among staff (1-<95% Percentile),Confirmed COVID-19 Cases among staff (>=95% Percentile),No Confirmed COVID-19 Deaths among residents,Confirmed COVID-19 Deaths among residents (1-<95% Percentile),Confirmed COVID-19 Deaths among residents (>=95% Percentile),No Confirmed COVID-19 Deaths among staff,Confirmed COVID-19 Deaths among staff (>0),Facility size Small (<33% Percentile beds),Facility size Medium (33%-66% Percentile beds),Facility size Large (>66% Percentile beds),Low occupancy rate (<33% Percentile),Medium occupancy rate (33%-66% Percentile),High occupancy rate (>66% Percentile)
225242,8,3,117,96,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
265309,0,0,120,104,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
265319,0,0,240,93,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
245316,0,0,50,38,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
265566,0,0,90,73,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
235594,75,20,121,77,39,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0
235076,0,0,116,79,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
265655,0,0,61,44,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
235336,0,0,84,54,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
235325,9,28,151,134,10,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
265564,0,0,110,58,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
235002,0,0,115,91,7,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
235722,16,7,66,51,10,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
225523,94,26,164,96,32,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
215357,2,3,70,55,5,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
235580,1,0,180,114,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
245624,2,1,50,44,6,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
255162,0,0,83,66,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
245240,0,0,110,92,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
265554,0,0,60,40,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
255348,21,4,58,37,14,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
225380,1,0,98,56,4,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
245269,3,1,162,137,3,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
265452,0,0,60,41,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
235405,32,7,132,115,4,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
215265,4,1,66,53,5,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
255091,7,2,60,44,10,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
265158,0,0,120,73,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245365,0,0,90,69,10,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
245423,0,0,78,62,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245489,0,0,102,83,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
255158,25,13,152,66,18,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
255265,0,0,60,48,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
245438,0,0,77,63,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245327,1,0,25,15,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
245186,28,5,84,67,10,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
235067,17,0,136,125,12,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
225282,79,16,117,70,20,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
255234,7,0,100,72,4,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
245485,0,0,56,56,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
225303,0,0,115,90,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
265573,0,0,60,41,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
335204,0,0,130,126,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
245597,0,0,30,25,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
235069,0,0,130,115,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
225760,0,0,53,46,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
225710,45,6,142,74,6,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
245403,0,0,55,50,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
265699,2,0,184,124,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
235254,0,0,60,28,4,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
265503,0,0,102,69,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
225395,0,0,96,84,9,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
25A162,3,0,73,70,8,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
245012,4,3,120,113,4,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
215179,1,0,135,109,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
245519,0,0,56,32,7,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
235429,0,0,110,87,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
235656,0,0,70,38,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
215165,26,0,180,156,17,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
255150,0,0,60,9,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
225326,47,15,144,109,23,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
245514,17,2,84,59,8,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
265396,0,0,60,29,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
225630,0,0,61,45,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
235503,28,25,144,111,18,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
215364,7,1,150,118,9,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
235312,1,0,96,66,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
265517,0,0,60,33,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
225317,0,0,62,44,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
265390,13,2,120,100,9,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
245212,0,0,96,86,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
235488,66,19,172,99,20,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
255325,0,0,60,47,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
225775,0,0,100,90,5,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
265646,0,0,94,48,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
245449,0,0,64,64,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
265160,0,0,142,92,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
265475,0,0,120,100,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
225543,84,11,123,83,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
245516,3,0,65,47,9,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
215273,0,0,115,101,5,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
235491,18,4,169,92,7,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
265571,0,0,82,72,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245600,0,0,30,29,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
235495,2,0,98,71,13,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
235651,0,0,81,57,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
235563,3,0,103,85,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
225137,4,1,130,57,10,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
245164,25,6,99,75,5,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
235367,53,66,99,50,9,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
245397,0,0,90,70,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
255293,14,1,60,46,3,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
245566,0,0,45,38,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
225489,15,23,111,66,29,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
265308,13,0,199,138,15,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
255290,13,2,151,114,10,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
225402,0,0,142,101,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
255136,74,7,120,103,37,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
215359,0,0,78,52,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
265482,0,0,87,34,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
235285,0,0,61,54,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
255346,0,0,36,14,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
225483,0,0,81,68,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
235174,0,0,60,54,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
225273,39,14,100,67,28,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
225762,0,0,54,46,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
235021,16,7,85,61,3,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
235349,0,0,96,65,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245221,0,0,71,49,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
225764,0,0,74,71,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
245635,0,0,84,52,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
245333,0,0,29,21,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
245257,0,0,91,80,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
245587,96,15,119,89,30,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
235659,0,1,220,140,10,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
265477,0,0,120,98,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
245371,0,0,45,40,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
265406,0,0,120,57,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
265327,0,0,20,5,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
245367,0,0,26,19,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
225482,56,16,86,73,45,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
245275,15,5,90,64,15,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
235004,43,24,65,31,28,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
235707,2,21,56,48,5,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
235058,6,2,202,195,6,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
265633,0,0,120,57,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245028,0,0,64,54,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
245522,0,0,51,43,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
245374,0,0,46,29,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
255097,49,8,113,85,34,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
265312,0,0,99,47,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
215187,85,19,195,134,11,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
235143,0,0,39,34,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
215199,0,0,61,49,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
215147,43,6,155,127,26,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
265394,0,0,120,81,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245560,0,0,56,43,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
235712,1,0,27,11,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
225360,0,1,63,51,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
225567,1,0,142,105,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
235662,2,2,57,46,4,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
245596,0,0,54,32,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
255216,17,2,91,60,8,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
225224,0,0,160,148,3,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
215249,5,1,148,118,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
24E116,0,0,212,201,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
215324,1,2,109,75,6,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
265181,0,0,120,80,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
265336,0,0,130,71,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
265597,59,0,160,105,13,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1
265665,0,0,90,54,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245620,24,10,300,267,28,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
235561,0,0,100,90,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
265130,0,0,135,85,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
255104,3,2,110,78,4,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
255284,38,8,60,44,13,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
235025,0,0,133,108,7,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
245578,1,0,50,40,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
245244,1,0,60,53,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
255072,2,0,120,115,10,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
235094,8,0,131,82,6,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
235065,0,0,74,64,24,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
225556,25,6,84,81,12,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
255111,1,0,100,76,10,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
235566,0,0,85,65,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
225691,2,2,42,35,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
235590,0,0,70,46,6,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
235453,44,9,154,104,41,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
245285,0,0,46,36,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
23E281,0,0,36,31,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
265373,0,0,120,69,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
235339,4,0,136,103,4,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
245262,0,0,72,67,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
225651,34,11,135,82,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
235269,6,0,101,51,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
235360,2,1,122,62,16,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
245434,0,0,83,70,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
235249,0,0,94,72,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
