PROV,paymcaid,multifac,pctwhite_2011p,Low Medicaid share (<Median),High Medicaid share (>=Median),No chain affiliation,Chain affiliation,Low racial or ethnic minority share (<Median),High racial or ethnic minority share (>=Median)
155521,85,Yes,96.43,0,1,0,1,0,1
155571,72.5,Yes,100,0,1,0,1,0,1
155582,69.49,Yes,100,0,1,0,1,0,1
155479,53.85,Yes,92.73,1,0,0,1,0,1
155496,66.67,Yes,30.3,0,1,0,1,1,0
155617,61.54,Yes,100,1,0,0,1,0,1
155468,77.42,Yes,96.77,0,1,0,1,0,1
155488,67.89,Yes,75.9,0,1,0,1,1,0
155578,78.18,Yes,97.87,0,1,0,1,0,1
155482,84,Yes,100,0,1,0,1,0,1
155527,65.79,Yes,100,0,1,0,1,0,1
155419,81.25,Yes,100,0,1,0,1,0,1
155493,58.75,Yes,94.87,1,0,0,1,0,1
155604,55.26,No,97.3,1,0,1,0,0,1
155409,83.67,Yes,87.5,0,1,0,1,1,0
155620,66.36,Yes,72,0,1,0,1,1,0
155746,51.28,Yes,100,1,0,0,1,0,1
155475,0,Yes,LNE,1,0,0,1,0,1
155705,47.83,Yes,100,1,0,0,1,0,1
155471,0,Yes,100,1,0,0,1,0,1
155673,71.79,Yes,93.59,0,1,0,1,0,1
15E594,96.67,No,72,0,1,1,0,1,0
155473,80.65,Yes,100,0,1,0,1,0,1
155775,39.68,No,88.68,1,0,1,0,0,1
155472,0,Yes,LNE,1,0,0,1,0,1
155510,50,Yes,98.25,1,0,0,1,0,1
155480,78,Yes,100,0,1,0,1,0,1
155660,61.82,Yes,96.3,1,0,0,1,0,1
155747,50.53,No,100,1,0,1,0,0,1
155455,75.4,Yes,82.54,0,1,0,1,1,0
155523,85.25,Yes,89.83,0,1,0,1,0,1
155718,63.33,Yes,88.14,1,0,0,1,1,0
155766,75,No,100,0,1,1,0,0,1
155484,71.58,Yes,83.53,0,1,0,1,1,0
155546,56.18,Yes,82.93,1,0,0,1,1,0
155581,60,Yes,97.62,1,0,0,1,0,1
155711,86.11,Yes,36.36,0,1,0,1,1,0
155531,82.05,Yes,100,0,1,0,1,0,1
155744,57.5,Yes,97.37,1,0,0,1,0,1
155535,87.72,Yes,94.55,0,1,0,1,0,1
