PROV,paymcaid,multifac,pctwhite_2011p,Low Medicaid share (<Median),High Medicaid share (>=Median),No chain affiliation,Chain affiliation,Low racial or ethnic minority share (<Median),High racial or ethnic minority share (>=Median)
305075,57.65,Yes,98.77,1,0,0,1,0,1
305059,74.75,Yes,98.84,0,1,0,1,0,1
305050,28.85,Yes,96,1,0,0,1,0,1
305081,50.85,Yes,100,1,0,0,1,0,1
305079,52.5,Yes,99.15,1,0,0,1,0,1
305052,76.39,Yes,95.59,0,1,0,1,0,1
305061,56.96,Yes,100,1,0,0,1,0,1
305099,14.58,No,97.44,1,0,1,0,0,1
305062,82.5,Yes,98.55,0,1,0,1,0,1
305084,52.5,Yes,98.8,1,0,0,1,0,1
305058,63.27,No,95.7,1,0,1,0,0,1
305077,74.58,Yes,98.41,0,1,0,1,0,1
305085,16.67,Yes,100,1,0,0,1,0,1
305091,23.53,No,100,1,0,1,0,0,1
315001,62.92,Yes,59.51,1,0,0,1,1,0
315002,0,No,65.85,1,0,1,0,1,0
315005,70.37,Yes,77.33,0,1,0,1,1,0
315008,38.82,No,75.31,1,0,1,0,1,0
315009,47.98,No,56.73,1,0,1,0,1,0
315010,66.29,No,33.14,0,1,1,0,1,0
315013,52.04,No,70.24,1,0,1,0,1,0
315014,78.46,Yes,81.67,0,1,0,1,1,0
315015,68.79,Yes,63.57,0,1,0,1,1,0
315017,91.85,No,47.38,0,1,1,0,1,0
315019,73.68,Yes,90,0,1,0,1,0,1
315021,34.62,No,70.92,1,0,1,0,1,0
315022,28.85,Yes,100,1,0,0,1,0,1
315029,71.22,No,80.72,0,1,1,0,1,0
315032,86.39,Yes,43.84,0,1,0,1,1,0
315036,85.29,Yes,56.84,0,1,0,1,1,0
315037,96.97,No,42.71,0,1,1,0,1,0
315038,75.17,Yes,34.85,0,1,0,1,1,0
315039,72.32,No,72.44,0,1,1,0,1,0
315042,36.47,No,38.57,1,0,1,0,1,0
315044,34.9,No,91.2,1,0,1,0,0,1
315047,84.21,Yes,74.04,0,1,0,1,1,0
315050,87.36,Yes,49.02,0,1,0,1,1,0
315053,16.09,No,73.81,1,0,1,0,1,0
315054,63.87,Yes,60.14,1,0,0,1,1,0
315056,62.92,Yes,39.74,1,0,0,1,1,0
315057,23.47,No,100,1,0,1,0,0,1
315058,82.22,No,79.76,0,1,1,0,1,0
315060,53.04,No,94.59,1,0,1,0,0,1
315061,69.75,No,58.54,0,1,1,0,1,0
315064,66.67,Yes,53.41,0,1,0,1,1,0
315066,52.14,No,24.04,1,0,1,0,1,0
315068,80.33,No,74.58,0,1,1,0,1,0
315069,66.67,No,80,0,1,1,0,1,0
315072,15.22,No,97.59,1,0,1,0,0,1
315487,73.68,Yes,39.71,0,1,0,1,1,0
315077,0,No,100,1,0,1,0,0,1
315083,93.42,Yes,33.8,0,1,0,1,1,0
315085,45.92,No,71.43,1,0,1,0,1,0
315087,30.38,Yes,95.71,1,0,0,1,0,1
315091,69.61,Yes,65.38,0,1,0,1,1,0
315092,31.48,Yes,90.24,1,0,0,1,0,1
315094,72.22,Yes,77.66,0,1,0,1,1,0
315096,57.89,No,LNE,1,0,1,0,0,1
315101,88.57,Yes,55.67,0,1,0,1,1,0
315103,68.1,No,66.99,0,1,1,0,1,0
315104,68.63,Yes,51.15,0,1,0,1,1,0
315105,74.73,Yes,63.53,0,1,0,1,1,0
315106,87.64,No,25,0,1,1,0,1,0
315108,40.4,No,56.18,1,0,1,0,1,0
315110,35.14,No,64.42,1,0,1,0,1,0
315111,70.71,No,88.12,0,1,1,0,1,0
315112,44.88,No,25.64,1,0,1,0,1,0
315113,34.67,Yes,60,1,0,0,1,1,0
315115,65.16,No,86.61,0,1,1,0,1,0
315119,77.71,No,62.84,0,1,1,0,1,0
315120,23.53,No,86.36,1,0,1,0,1,0
315122,72.25,Yes,62.35,0,1,0,1,1,0
315124,70.3,No,38.46,0,1,1,0,1,0
315125,95.11,No,73.26,0,1,1,0,1,0
315126,59.76,Yes,60,1,0,0,1,1,0
315127,2.04,No,77.78,1,0,1,0,1,0
315128,47.02,Yes,72.22,1,0,0,1,1,0
315129,42.86,No,88.41,1,0,1,0,1,0
315130,0,No,LNE,1,0,1,0,0,1
315131,80.8,Yes,54.92,0,1,0,1,1,0
315132,23.89,No,61.36,1,0,1,0,1,0
315133,28.57,No,94.92,1,0,1,0,0,1
315134,88.24,Yes,81.36,0,1,0,1,1,0
315135,71.13,Yes,92.21,0,1,0,1,0,1
315136,14.29,Yes,84.27,1,0,0,1,1,0
315137,47.83,Yes,91.82,1,0,0,1,0,1
315138,78.57,Yes,77.27,0,1,0,1,1,0
315140,65.87,No,81.6,0,1,1,0,1,0
315141,68.49,Yes,47.52,0,1,0,1,1,0
315142,83.24,Yes,77.12,0,1,0,1,1,0
315143,69.64,Yes,95.28,0,1,0,1,0,1
315144,0,No,100,1,0,1,0,0,1
315146,0,Yes,84.62,1,0,0,1,1,0
315147,46.92,No,21.49,1,0,1,0,1,0
315149,86.87,No,56.04,0,1,1,0,1,0
315152,23.64,No,72.88,1,0,1,0,1,0
315153,45,No,92.31,1,0,1,0,0,1
315157,70.53,Yes,66.48,0,1,0,1,1,0
315158,84.42,Yes,75,0,1,0,1,1,0
315159,83.94,No,85.6,0,1,1,0,1,0
315161,22.45,No,100,1,0,1,0,0,1
315164,59.68,No,78.33,1,0,1,0,1,0
315166,68.45,No,93.06,0,1,1,0,0,1
315171,56.74,Yes,89.18,1,0,0,1,0,1
315483,87.6,No,29.2,0,1,1,0,1,0
315174,84.88,Yes,79.53,0,1,0,1,1,0
315176,74.51,No,95.96,0,1,1,0,0,1
315177,90.12,No,37.09,0,1,1,0,1,0
315178,87.83,Yes,10.13,0,1,0,1,1,0
315179,66.67,No,90.53,0,1,1,0,0,1
315180,78.26,No,19.25,0,1,1,0,1,0
315182,49.65,No,89.68,1,0,1,0,0,1
315183,39.13,No,74.75,1,0,1,0,1,0
315185,59.72,Yes,84.4,1,0,0,1,1,0
315187,46.04,Yes,60.54,1,0,0,1,1,0
315190,31.55,No,85.71,1,0,1,0,1,0
315192,77.19,No,44,0,1,1,0,1,0
315193,92.38,No,65,0,1,1,0,1,0
315194,61.15,No,87.04,1,0,1,0,1,0
315195,59.43,No,90.53,1,0,1,0,0,1
315196,60.58,No,86.49,1,0,1,0,1,0
315198,70.25,No,48.54,0,1,1,0,1,0
315199,77.27,No,69,0,1,1,0,1,0
315200,73.12,No,50.29,0,1,1,0,1,0
315201,41.11,Yes,90.7,1,0,0,1,0,1
315202,74.83,Yes,94.07,0,1,0,1,0,1
315204,80.63,Yes,62.07,0,1,0,1,1,0
315205,27.96,No,31.25,1,0,1,0,1,0
315206,75.79,No,74.29,0,1,1,0,1,0
315207,78.13,Yes,71.69,0,1,0,1,1,0
315209,35.35,Yes,60.89,1,0,0,1,1,0
315210,62.11,No,70,1,0,1,0,1,0
315213,25.18,Yes,95.69,1,0,0,1,0,1
315214,72.57,No,37.56,0,1,1,0,1,0
315215,31.25,No,95.87,1,0,1,0,0,1
315216,78.11,Yes,74.52,0,1,0,1,1,0
315217,74.77,No,26.21,0,1,1,0,1,0
315218,61.81,No,97.87,1,0,1,0,0,1
315219,86.75,Yes,80.79,0,1,0,1,1,0
315221,74.04,Yes,55.56,0,1,0,1,1,0
315222,73.4,No,95.18,0,1,1,0,0,1
315223,22.36,No,77.33,1,0,1,0,1,0
315224,50.48,No,94.51,1,0,1,0,0,1
315225,85.07,Yes,47.18,0,1,0,1,1,0
315226,48.55,No,91.67,1,0,1,0,0,1
315467,33.33,No,100,1,0,1,0,0,1
315228,59.79,Yes,82.35,1,0,0,1,1,0
315229,89.77,No,44.66,0,1,1,0,1,0
315231,21.74,No,90.8,1,0,1,0,0,1
315233,75.3,No,58.5,0,1,1,0,1,0
315234,90,Yes,62.34,0,1,0,1,1,0
315235,22.69,Yes,48.45,1,0,0,1,1,0
315236,76.35,No,12.86,0,1,1,0,1,0
315237,66.17,No,81.82,0,1,1,0,1,0
315239,100,Yes,LNE,0,1,0,1,0,1
315240,45.74,No,88.89,1,0,1,0,0,1
315243,62.26,Yes,78.2,1,0,0,1,1,0
315244,52.17,Yes,79.51,1,0,0,1,1,0
315245,71.68,Yes,68.48,0,1,0,1,1,0
315246,62.61,Yes,75.68,1,0,0,1,1,0
315247,65.73,No,92.25,0,1,1,0,0,1
315248,66.4,No,62.45,0,1,1,0,1,0
315249,36.29,No,35.08,1,0,1,0,1,0
315505,0,Yes,LNE,1,0,0,1,0,1
315251,49.5,No,68,1,0,1,0,1,0
315252,50.7,Yes,78.95,1,0,0,1,1,0
315253,55.34,Yes,75.82,1,0,0,1,1,0
315254,93.68,No,23.71,0,1,1,0,1,0
315255,58.99,No,23.84,1,0,1,0,1,0
315256,42.59,Yes,97.73,1,0,0,1,0,1
315257,77.58,Yes,70.21,0,1,0,1,1,0
315259,70.45,Yes,48.82,0,1,0,1,1,0
315260,73.76,Yes,77.78,0,1,0,1,1,0
315261,82.69,No,85.71,0,1,1,0,1,0
315262,0,No,100,1,0,1,0,0,1
315263,92.67,No,48.94,0,1,1,0,1,0
315264,65.26,Yes,95.12,0,1,0,1,0,1
315265,61.72,No,89.22,1,0,1,0,0,1
315266,75.88,Yes,9.21,0,1,0,1,1,0
315267,77.98,No,37.65,0,1,1,0,1,0
315268,38.6,Yes,LNE,1,0,0,1,0,1
315269,38.89,Yes,89.8,1,0,0,1,0,1
315271,86.9,No,61.87,0,1,1,0,1,0
315516,54.95,No,72.73,1,0,1,0,1,0
315273,75.68,Yes,43.56,0,1,0,1,1,0
315274,76.4,Yes,88.24,0,1,0,1,1,0
315275,32.35,No,72.16,1,0,1,0,1,0
315276,61.02,No,95.28,1,0,1,0,0,1
315458,52.82,No,13.99,1,0,1,0,1,0
315279,70.04,Yes,61.88,0,1,0,1,1,0
315280,75.69,No,60,0,1,1,0,1,0
315508,74.26,Yes,96.74,0,1,0,1,0,1
315282,31.62,No,80.91,1,0,1,0,1,0
315283,64.37,No,20.75,1,0,1,0,1,0
315284,31.73,No,64.44,1,0,1,0,1,0
315286,69.16,Yes,70.41,0,1,0,1,1,0
315288,68.79,Yes,94.62,0,1,0,1,0,1
315289,74.31,Yes,35.71,0,1,0,1,1,0
315290,65.58,Yes,54.17,0,1,0,1,1,0
315291,77.7,Yes,61.94,0,1,0,1,1,0
315292,4.17,Yes,100,1,0,0,1,0,1
315293,63.28,Yes,95.05,1,0,0,1,0,1
315294,66.94,No,94.07,0,1,1,0,0,1
315295,78.03,No,41.74,0,1,1,0,1,0
315297,34.09,No,97.56,1,0,1,0,0,1
315298,37.25,Yes,97.73,1,0,0,1,0,1
315299,78.63,No,62.38,0,1,1,0,1,0
315300,56.34,No,36.56,1,0,1,0,1,0
315302,50.85,No,92.86,1,0,1,0,0,1
315303,70.19,No,81.97,0,1,1,0,1,0
315305,41.57,No,42,1,0,1,0,1,0
315306,63.82,Yes,71.27,1,0,0,1,1,0
315312,18.23,No,91.21,1,0,1,0,0,1
315313,0,Yes,86.08,1,0,0,1,1,0
315316,57.26,Yes,94.34,1,0,0,1,0,1
315318,35.29,No,97.83,1,0,1,0,0,1
315322,24.21,No,92.05,1,0,1,0,0,1
315324,29.73,No,33.79,1,0,1,0,1,0
315327,74.77,No,85.57,0,1,1,0,1,0
315329,0,Yes,98.51,1,0,0,1,0,1
315330,88.51,Yes,57.45,0,1,0,1,1,0
315331,90.14,No,13.53,0,1,1,0,1,0
315332,59.8,Yes,95.7,1,0,0,1,0,1
315333,58.06,Yes,94.44,1,0,0,1,0,1
315337,63.89,No,68.57,1,0,1,0,1,0
315339,35.04,No,89.17,1,0,1,0,0,1
315341,53.97,Yes,85,1,0,0,1,1,0
315342,42.64,No,92.66,1,0,1,0,0,1
315343,70,No,LNE,0,1,1,0,0,1
315346,0,No,94.9,1,0,1,0,0,1
315347,25.45,No,100,1,0,1,0,0,1
315348,72.45,Yes,96.15,0,1,0,1,0,1
315349,63.93,Yes,50,1,0,0,1,1,0
315350,66,Yes,95.24,0,1,0,1,0,1
315351,11.11,Yes,88.89,1,0,0,1,0,1
315352,70.52,No,11.04,0,1,1,0,1,0
315353,71.88,Yes,84.82,0,1,0,1,1,0
315354,32,No,100,1,0,1,0,0,1
315356,0,No,93.94,1,0,1,0,0,1
315362,77.92,Yes,65.75,0,1,0,1,1,0
315363,78.43,No,54.17,0,1,1,0,1,0
315364,74.05,Yes,84.68,0,1,0,1,1,0
315366,32.71,No,52.33,1,0,1,0,1,0
315370,77.55,Yes,69.63,0,1,0,1,1,0
315374,68.97,No,96.3,0,1,1,0,0,1
315375,56.52,No,19.79,1,0,1,0,1,0
315389,0,Yes,LNE,1,0,0,1,0,1
315426,0,Yes,92.75,1,0,0,1,0,1
315431,0,Yes,LNE,1,0,0,1,0,1
315434,0,No,36.92,1,0,1,0,1,0
315435,29.51,Yes,70,1,0,0,1,1,0
315438,79.19,Yes,82.72,0,1,0,1,1,0
315441,88.89,No,100,0,1,1,0,0,1
315445,0,No,92.5,1,0,1,0,0,1
315449,53.33,No,30.68,1,0,1,0,1,0
315453,66.21,Yes,95.92,0,1,0,1,0,1
315454,28.69,No,80.95,1,0,1,0,1,0
315455,40.68,No,25.93,1,0,1,0,1,0
315456,60.75,Yes,87.23,1,0,0,1,1,0
315457,0,No,0,1,0,1,0,1,0
315459,0,No,87.23,1,0,1,0,1,0
315460,0,No,79.63,1,0,1,0,1,0
315461,49.58,Yes,89.11,1,0,0,1,0,1
315462,73.53,No,96.05,0,1,1,0,0,1
315463,68.29,Yes,78.57,0,1,0,1,1,0
315464,12.73,No,88.66,1,0,1,0,0,1
315465,51.97,No,59.38,1,0,1,0,1,0
315466,0,Yes,95.83,1,0,0,1,0,1
315468,39.77,Yes,86.49,1,0,0,1,1,0
315469,13.16,No,98.67,1,0,1,0,0,1
315471,78.57,No,91.67,0,1,1,0,0,1
315472,33.65,Yes,81.01,1,0,0,1,1,0
315473,42.01,No,94.74,1,0,1,0,0,1
315477,0,Yes,88.24,1,0,0,1,1,0
315478,0,Yes,LNE,1,0,0,1,0,1
315479,20,No,49.06,1,0,1,0,1,0
315480,23.91,Yes,100,1,0,0,1,0,1
315482,0,No,86.05,1,0,1,0,1,0
315485,25.49,Yes,94.19,1,0,0,1,0,1
315486,3.13,Yes,100,1,0,0,1,0,1
315488,33.64,No,75,1,0,1,0,1,0
315490,0,Yes,LNE,1,0,0,1,0,1
315491,6.19,No,69.89,1,0,1,0,1,0
315492,36.26,No,92.68,1,0,1,0,0,1
315494,4.84,No,60.78,1,0,1,0,1,0
315495,0,No,100,1,0,1,0,0,1
315496,0,No,87.68,1,0,1,0,1,0
315497,43.96,No,98.65,1,0,1,0,0,1
315499,38.38,No,96.59,1,0,1,0,0,1
315500,63.64,Yes,75.86,1,0,0,1,1,0
315501,0.85,No,98.18,1,0,1,0,0,1
315502,0,No,75.68,1,0,1,0,1,0
315503,17.88,No,61.36,1,0,1,0,1,0
315504,44.53,No,86.78,1,0,1,0,1,0
315506,36.36,Yes,75,1,0,0,1,1,0
315507,0,Yes,LNE,1,0,0,1,0,1
315509,36.65,No,85.42,1,0,1,0,1,0
315510,43.1,No,92.55,1,0,1,0,0,1
315511,8.2,Yes,82.35,1,0,0,1,1,0
315512,0,Yes,LNE,1,0,0,1,0,1
315335,70,Yes,69.62,0,1,0,1,1,0
315358,76.35,No,70.59,0,1,1,0,1,0
315448,71.93,No,86.21,0,1,1,0,1,0
315386,19.61,Yes,83.33,1,0,0,1,1,0
315404,17.86,Yes,85.42,1,0,0,1,1,0
315390,78.82,No,56.76,0,1,1,0,1,0
315357,66.67,No,57.93,0,1,1,0,1,0
315425,51.88,No,92.05,1,0,1,0,0,1
315423,72.25,No,62.77,0,1,1,0,1,0
315365,53.33,Yes,78.69,1,0,0,1,1,0
315311,89.8,Yes,89.8,0,1,0,1,0,1
315397,70.48,No,81.82,0,1,1,0,1,0
315340,72.73,No,86.51,0,1,1,0,1,0
315402,38.78,No,94.12,1,0,1,0,0,1
315422,40.74,No,100,1,0,1,0,0,1
315476,85.51,No,47.24,0,1,1,0,1,0
315421,43.59,No,75.93,1,0,1,0,1,0
315439,22.81,Yes,95.65,1,0,0,1,0,1
315419,65.79,No,91.18,0,1,1,0,0,1
315427,23.81,Yes,100,1,0,0,1,0,1
315361,88.73,No,66.77,0,1,1,0,1,0
315417,25,No,89.25,1,0,1,0,0,1
315413,48.25,No,79.8,1,0,1,0,1,0
315452,35.77,No,62.4,1,0,1,0,1,0
315378,20.95,No,97.47,1,0,1,0,0,1
315304,82.69,No,96.33,0,1,1,0,0,1
315394,44.44,Yes,97.37,1,0,0,1,0,1
315372,66.23,No,LNE,0,1,1,0,0,1
315418,26.98,No,96.92,1,0,1,0,0,1
315396,79.47,No,62.33,0,1,1,0,1,0
315414,94.37,No,71.19,0,1,1,0,1,0
315367,76.28,No,69.7,0,1,1,0,1,0
315388,80.49,No,94.44,0,1,1,0,0,1
315360,53.38,No,92.24,1,0,1,0,0,1
315338,34,No,94.21,1,0,1,0,0,1
315383,79.41,No,58.06,0,1,1,0,1,0
315416,15,No,96,1,0,1,0,0,1
315328,67.57,Yes,70.4,0,1,0,1,1,0
315437,82.22,No,81.01,0,1,1,0,1,0
315310,63.58,No,35,1,0,1,0,1,0
315392,23.68,No,87.5,1,0,1,0,1,0
315384,92.13,No,25,0,1,1,0,1,0
315381,73.87,No,75.49,0,1,1,0,1,0
315309,63.38,No,59.44,1,0,1,0,1,0
315393,88.97,No,LNE,0,1,1,0,0,1
315308,84.21,No,60.41,0,1,1,0,1,0
315442,59.02,No,31.37,1,0,1,0,1,0
315320,70.83,Yes,97.45,0,1,0,1,0,1
315314,66.91,No,93.18,0,1,1,0,0,1
315377,65,No,87.84,0,1,1,0,1,0
315387,88.24,No,78.22,0,1,1,0,1,0
315433,76.47,No,77.67,0,1,1,0,1,0
315317,53.68,Yes,43.62,1,0,0,1,1,0
315376,52.42,No,90.24,1,0,1,0,0,1
315321,43.59,Yes,83.33,1,0,0,1,1,0
315355,65.56,Yes,83.69,0,1,0,1,1,0
315307,75.51,Yes,45.75,0,1,0,1,1,0
315369,19.3,No,91.86,1,0,1,0,0,1
315344,70.1,Yes,17.5,0,1,0,1,1,0
315359,81.55,No,7.43,0,1,1,0,1,0
315443,100,Yes,LNE,0,1,0,1,0,1
315409,42.31,No,100,1,0,1,0,0,1
315336,58,No,92.47,1,0,1,0,0,1
315429,67.74,No,93.75,0,1,1,0,0,1
315451,30.77,No,95.35,1,0,1,0,0,1
315405,57.63,No,88.89,1,0,1,0,0,1
315436,80.22,No,82.35,0,1,1,0,1,0
325120,85.48,No,47.29,0,1,1,0,1,0
325030,76.7,Yes,43.16,0,1,0,1,1,0
325032,66.95,Yes,54.72,0,1,0,1,1,0
325033,76.79,Yes,61.39,0,1,0,1,1,0
325034,52.17,Yes,55.1,1,0,0,1,1,0
325035,6.52,Yes,97.3,1,0,0,1,0,1
325036,72.28,Yes,52,0,1,0,1,1,0
325037,73.64,Yes,28.24,0,1,0,1,1,0
325038,67.74,Yes,51.65,0,1,0,1,1,0
325039,76.6,Yes,42.86,0,1,0,1,1,0
325040,72.45,Yes,60.2,0,1,0,1,1,0
325125,71.32,No,50.83,0,1,1,0,1,0
325042,58.24,Yes,50.57,1,0,0,1,1,0
325043,76.92,Yes,75.95,0,1,0,1,1,0
325044,75.93,Yes,68.54,0,1,0,1,1,0
325045,96.1,Yes,54.97,0,1,0,1,1,0
325047,87.69,Yes,50.81,0,1,0,1,1,0
325048,0,Yes,92.31,1,0,0,1,0,1
325054,57.89,Yes,60.47,1,0,0,1,1,0
325056,60.66,No,60,1,0,1,0,1,0
325057,70.59,Yes,74.29,0,1,0,1,1,0
325095,2.33,Yes,80,1,0,0,1,1,0
325101,0,Yes,LNE,1,0,0,1,0,1
325102,0,Yes,LNE,1,0,0,1,0,1
325103,69.23,Yes,61.74,0,1,0,1,1,0
325105,8.33,No,45.35,1,0,1,0,1,0
325111,0,Yes,71.43,1,0,0,1,1,0
325113,65.59,No,58.33,0,1,1,0,1,0
325116,48.39,No,58.82,1,0,1,0,1,0
325119,0,Yes,79.41,1,0,0,1,1,0
325123,0,No,43.18,1,0,1,0,1,0
325069,61.02,Yes,50,1,0,0,1,1,0
325083,94.74,No,29.27,0,1,1,0,1,0
325060,62.14,Yes,50.53,1,0,0,1,1,0
325128,70.37,Yes,62.5,0,1,0,1,1,0
325100,77.42,Yes,68.97,0,1,0,1,1,0
325077,81.82,Yes,61.02,0,1,0,1,1,0
325079,45.83,Yes,52.5,1,0,0,1,1,0
325085,83.95,Yes,21.05,0,1,0,1,1,0
325118,82.76,Yes,LNE,0,1,0,1,0,1
325108,66.07,Yes,47.06,0,1,0,1,1,0
325065,65.85,Yes,21.95,0,1,0,1,1,0
325121,89.19,Yes,52.78,0,1,0,1,1,0
325114,73.77,No,76.79,0,1,1,0,1,0
32E027,25,No,LNE,1,0,1,0,0,1
325086,70.19,Yes,75.86,0,1,0,1,1,0
32E032,63.33,No,87.1,1,0,1,0,1,0
325061,57.58,Yes,83.08,1,0,0,1,1,0
325087,60.47,No,67.61,1,0,1,0,1,0
325071,57.89,Yes,82.09,1,0,0,1,1,0
325058,10.61,Yes,44.83,1,0,0,1,1,0
325067,51.25,Yes,66.67,1,0,0,1,1,0
325073,19.23,Yes,62.75,1,0,0,1,1,0
325074,12.12,Yes,74.36,1,0,0,1,1,0
325214,98.25,No,0,0,1,1,0,1,0
325062,79.31,No,71.6,0,1,1,0,1,0
325080,76.71,No,53.57,0,1,1,0,1,0
325068,85.39,Yes,43.37,0,1,0,1,1,0
325059,87.93,No,20.75,0,1,1,0,1,0
325066,76.67,No,24.36,0,1,1,0,1,0
325091,81.69,Yes,47.5,0,1,0,1,1,0
325084,73.17,Yes,41.94,0,1,0,1,1,0
325064,70.21,Yes,49.35,0,1,0,1,1,0
325076,83.02,Yes,61.54,0,1,0,1,1,0
325070,79.35,Yes,LNE,0,1,0,1,0,1
325117,93.75,Yes,59.09,0,1,0,1,1,0
325092,33.58,No,80,1,0,1,0,1,0
325104,83.44,No,31.33,0,1,1,0,1,0
325078,65.31,No,84.27,0,1,1,0,1,0
325122,53.85,No,LNE,1,0,1,0,0,1
335003,56.84,No,64.29,1,0,1,0,1,0
335004,40.96,No,56.67,1,0,1,0,1,0
335005,68.75,Yes,66.67,0,1,0,1,1,0
335006,58.59,No,97.87,1,0,1,0,0,1
335008,67.6,No,87.78,0,1,1,0,1,0
335011,82.05,No,57.78,0,1,1,0,1,0
335014,48.47,Yes,94.81,1,0,0,1,0,1
335015,93.26,No,56.75,0,1,1,0,1,0
335017,42.2,No,91.92,1,0,1,0,0,1
335019,71.91,No,8.02,0,1,1,0,1,0
335020,57.3,No,74.01,1,0,1,0,1,0
335022,55.09,No,92.95,1,0,1,0,0,1
335023,90.44,No,41.98,0,1,1,0,1,0
335024,91.23,No,62.5,0,1,1,0,1,0
335027,4,No,67.19,1,0,1,0,1,0
335028,66.4,No,20.45,0,1,1,0,1,0
335030,82.35,No,17.14,0,1,1,0,1,0
335034,67.42,No,94.26,0,1,1,0,0,1
335040,80.6,No,90.91,0,1,1,0,0,1
335044,92.86,No,35.56,0,1,1,0,1,0
335046,65.07,No,63.1,0,1,1,0,1,0
335048,60,No,17.91,1,0,1,0,1,0
335050,57.23,Yes,72.08,1,0,0,1,1,0
335053,71.68,No,95.02,0,1,1,0,0,1
335056,37.35,No,92.31,1,0,1,0,0,1
335061,72.5,No,LNE,0,1,1,0,0,1
335063,52.22,Yes,12.94,1,0,0,1,1,0
335067,52.15,No,73.65,1,0,1,0,1,0
335068,34.19,No,100,1,0,1,0,0,1
335069,47.73,Yes,100,1,0,0,1,0,1
335070,57.96,No,7.66,1,0,1,0,1,0
335072,65.88,No,96.39,0,1,1,0,0,1
335074,71.69,No,73.72,0,1,1,0,1,0
335077,47.06,No,96.88,1,0,1,0,0,1
335078,52.54,No,93.81,1,0,1,0,0,1
335079,86.21,No,25.95,0,1,1,0,1,0
335080,72.95,No,46.59,0,1,1,0,1,0
335081,72,No,88.18,0,1,1,0,1,0
335082,56.04,No,79.31,1,0,1,0,1,0
335083,81.37,No,82.5,0,1,1,0,1,0
335087,37.04,No,100,1,0,1,0,0,1
335090,51.3,Yes,94.23,1,0,0,1,0,1
335091,75.88,No,94.12,0,1,1,0,0,1
335092,42.14,Yes,21.66,1,0,0,1,1,0
335093,79.1,No,45.03,0,1,1,0,1,0
335096,88.98,No,19.8,0,1,1,0,1,0
335097,57.89,No,98.48,1,0,1,0,0,1
335098,70.21,No,96.32,0,1,1,0,0,1
335100,64.87,No,27.9,0,1,1,0,1,0
335103,64.86,No,80.6,0,1,1,0,1,0
335104,48.65,No,71.62,1,0,1,0,1,0
335105,64.35,No,94.19,1,0,1,0,0,1
335108,78.19,No,74.32,0,1,1,0,1,0
335110,45.53,Yes,90.37,1,0,0,1,0,1
335112,52.49,No,99,1,0,1,0,0,1
335125,50.85,No,8.67,1,0,1,0,1,0
335127,4.72,Yes,99.19,1,0,0,1,0,1
335128,36.18,No,89.92,1,0,1,0,0,1
335130,51.45,No,77.33,1,0,1,0,1,0
335131,81.29,No,10.69,0,1,1,0,1,0
335132,72.82,No,52.28,0,1,1,0,1,0
335133,58.06,No,22.6,1,0,1,0,1,0
335136,65.61,No,86.56,0,1,1,0,1,0
335139,60.76,No,64.2,1,0,1,0,1,0
335140,14.58,No,89.71,1,0,1,0,0,1
335141,43.02,No,83.33,1,0,1,0,1,0
335142,58.74,Yes,93.23,1,0,0,1,0,1
335143,65.94,No,49.61,0,1,1,0,1,0
335146,59.57,No,65.14,1,0,1,0,1,0
335148,67.91,No,77.84,0,1,1,0,1,0
335154,88.89,No,26.71,0,1,1,0,1,0
335155,81.43,No,17.54,0,1,1,0,1,0
335156,44.09,No,53.75,1,0,1,0,1,0
335158,70.97,No,81.82,0,1,1,0,1,0
335159,57.98,No,41.18,1,0,1,0,1,0
335160,33.71,No,79.75,1,0,1,0,1,0
335161,34.92,No,88.52,1,0,1,0,1,0
335162,27.53,No,68.67,1,0,1,0,1,0
335163,82.21,No,26.42,0,1,1,0,1,0
335164,90.51,No,52.35,0,1,1,0,1,0
335165,98.85,No,40.24,0,1,1,0,1,0
335168,62,No,35.23,1,0,1,0,1,0
335172,51.97,Yes,85.25,1,0,0,1,1,0
335174,84.08,No,37.46,0,1,1,0,1,0
335175,74.03,No,69.28,0,1,1,0,1,0
335176,32.18,No,88.82,1,0,1,0,0,1
335178,87.14,No,29.29,0,1,1,0,1,0
335180,69.57,No,84.42,0,1,1,0,1,0
335182,33.77,No,99.19,1,0,1,0,0,1
335184,61.19,No,80.64,1,0,1,0,1,0
335185,63.31,No,85.6,1,0,1,0,1,0
335187,57.62,No,33.8,1,0,1,0,1,0
335188,54.05,No,82.81,1,0,1,0,1,0
335190,41.32,No,98.28,1,0,1,0,0,1
335196,69.6,No,72.78,0,1,1,0,1,0
335197,71.66,No,68.55,0,1,1,0,1,0
335199,75.23,No,41.95,0,1,1,0,1,0
335201,57.58,No,13.85,1,0,1,0,1,0
335202,72.22,No,96,0,1,1,0,0,1
335204,67.72,No,99.19,0,1,1,0,0,1
335208,70.37,No,93.24,0,1,1,0,0,1
335210,63.38,No,96.83,1,0,1,0,0,1
335211,44.3,No,74.63,1,0,1,0,1,0
335212,46.15,No,93.27,1,0,1,0,0,1
335213,32.17,Yes,80.16,1,0,0,1,1,0
335214,48.72,No,16.76,1,0,1,0,1,0
335216,85.71,No,100,0,1,1,0,0,1
335218,75.44,Yes,99.08,0,1,0,1,0,1
335219,71.43,No,96.08,0,1,1,0,0,1
335220,61.54,No,89.09,1,0,1,0,0,1
