countyFIPS,7/19/20,7/19/20,population,County Infections per 100K,County Deaths per 100K,County Infections per 100K below Median,County Infections per 100K Median or higher,County Deaths per 100K below Median,County Deaths per 100K Median or higher
5131,1144,9,127827,895,7,0,1,0,1
5133,857,9,17007,5039,53,0,1,0,1
5135,80,5,17442,459,29,1,0,0,1
5137,29,1,12506,232,8,1,0,0,1
5139,306,14,38682,791,36,0,1,0,1
5141,38,2,16545,230,12,1,0,0,1
5143,5139,37,239187,2149,15,0,1,0,1
5145,169,2,78753,215,3,1,0,1,0
5147,18,0,6320,285,0,1,0,1,0
5149,912,12,21341,4273,56,0,1,0,1
0,0,0,0,,,0,1,0,1
6000,21,0,0,,,0,1,0,1
6001,9237,162,1671329,553,10,0,1,0,1
6003,2,0,1129,177,0,1,0,1,0
6005,54,0,39752,136,0,1,0,1,0
6007,522,4,219186,238,2,1,0,1,0
6009,87,0,45905,190,0,1,0,1,0
6011,173,0,21547,803,0,0,1,1,0
6013,5606,98,1153526,486,8,0,1,0,1
6015,66,0,27812,237,0,1,0,1,0
6017,394,0,192843,204,0,1,0,1,0
6019,9954,100,999101,996,10,0,1,0,1
6021,214,1,28393,754,4,0,1,1,0
6023,181,4,135558,134,3,1,0,1,0
6025,8531,161,181215,4708,89,0,1,0,1
6027,37,1,18039,205,6,1,0,1,0
6029,8447,105,900202,938,12,0,1,0,1
6031,3280,41,152940,2145,27,0,1,0,1
6033,140,1,64386,217,2,1,0,1,0
6035,36,0,30573,118,0,1,0,1,0
6037,155887,4095,10039107,1553,41,0,1,0,1
6039,1179,11,157327,749,7,0,1,0,1
6041,3206,42,258826,1239,16,0,1,0,1
6043,37,1,17203,215,6,1,0,1,0
6045,199,3,86749,229,3,1,0,1,0
6047,2403,15,277680,865,5,0,1,1,0
6049,0,0,8841,0,0,1,0,1,0
6051,79,1,14444,547,7,0,1,0,1
6053,3059,18,434061,705,4,0,1,1,0
6055,583,5,137744,423,4,1,0,1,0
6057,204,1,99755,205,1,1,0,1,0
6059,29426,492,3175692,927,15,0,1,0,1
6061,1363,11,398329,342,3,1,0,1,0
6063,23,0,18807,122,0,1,0,1,0
6065,28695,587,2470546,1161,24,0,1,0,1
6067,6935,96,1552058,447,6,1,0,1,0
6069,448,2,62808,713,3,0,1,1,0
6071,23772,328,2180085,1090,15,0,1,0,1
6073,23682,478,3338330,709,14,0,1,0,1
6075,5202,52,881549,590,6,0,1,1,0
6077,7819,83,762148,1026,11,0,1,0,1
6079,1213,6,283111,428,2,1,0,1,0
6081,4465,114,766573,582,15,0,1,0,1
6083,4759,32,446499,1066,7,0,1,0,1
6085,7456,177,1927852,387,9,1,0,0,1
6087,772,3,273213,283,1,1,0,1,0
6089,242,7,180080,134,4,1,0,1,0
6091,1,0,3005,33,0,1,0,1,0
6093,44,0,43539,101,0,1,0,1,0
6095,2554,31,447643,571,7,0,1,0,1
6097,2121,19,494336,429,4,1,0,1,0
6099,6344,63,550660,1152,11,0,1,0,1
6101,520,4,96971,536,4,0,1,1,0
6103,134,1,65084,206,2,1,0,1,0
6105,2,0,12285,16,0,1,0,1,0
6107,6683,165,466195,1434,35,0,1,0,1
6109,85,0,54478,156,0,1,0,1,0
6111,4968,56,846006,587,7,0,1,1,0
6113,1162,32,220500,527,15,0,1,0,1
6115,270,3,78668,343,4,1,0,1,0
0,18,0,0,,,0,1,0,1
8001,5094,161,517421,984,31,0,1,0,1
8003,207,7,16233,1275,43,0,1,0,1
8005,6032,351,656590,919,53,0,1,0,1
8007,18,0,14029,128,0,1,0,1,0
8009,14,0,3581,391,0,1,0,1,0
8011,5,0,5577,90,0,1,0,1,0
8013,1642,74,326196,503,23,0,1,0,1
8014,359,30,70465,509,43,0,1,0,1
8015,210,19,20356,1032,93,0,1,0,1
8017,7,0,1831,382,0,1,0,1,0
8019,23,1,9700,237,10,1,0,0,1
8021,21,0,8205,256,0,1,0,1,0
8023,22,0,3887,566,0,0,1,1,0
8025,72,1,6061,1188,16,0,1,0,1
8027,8,0,5068,158,0,1,0,1,0
8029,88,1,31162,282,3,1,0,1,0
8031,8371,398,727211,1151,55,0,1,0,1
8033,1,0,2055,49,0,1,0,1,0
8035,1331,54,351154,379,15,1,0,0,1
8037,847,9,55127,1536,16,0,1,0,1
8039,69,2,26729,258,7,1,0,0,1
8041,3517,119,720403,488,17,0,1,0,1
8043,74,0,47839,155,0,1,0,1,0
8045,519,4,60061,864,7,0,1,1,0
8047,12,0,6243,192,0,1,0,1,0
8049,35,1,15734,222,6,1,0,1,0
8051,200,6,17462,1145,34,0,1,0,1
8053,3,0,820,366,0,1,0,1,0
8055,5,1,6897,72,14,1,0,0,1
8057,8,0,1392,575,0,0,1,1,0
8059,3282,218,582881,563,37,0,1,0,1
8061,0,0,1406,0,0,1,0,1,0
8063,36,3,7097,507,42,0,1,0,1
8065,60,0,8127,738,0,0,1,1,0
8067,159,2,56221,283,4,1,0,1,0
8069,1079,31,356899,302,9,1,0,0,1
8071,11,0,14506,76,0,1,0,1,0
8073,6,0,5701,105,0,1,0,1,0
8075,642,5,22409,2865,22,0,1,0,1
8077,185,0,154210,120,0,1,0,1,0
8079,17,0,769,2211,0,0,1,1,0
8081,18,1,13283,136,8,1,0,0,1
8083,90,3,26183,344,11,1,0,0,1
8085,234,12,42758,547,28,0,1,0,1
8087,665,46,29068,2288,158,0,1,0,1
8089,24,1,18278,131,5,1,0,1,0
8091,12,1,4952,242,20,1,0,0,1
8093,35,1,18845,186,5,1,0,1,0
8095,16,0,4265,375,0,1,0,1,0
8097,148,2,17767,833,11,0,1,0,1
8099,45,0,12172,370,0,1,0,1,0
